Language,Training Hours,CER
dga_Latn,37.9,0.8
dgh_Latn,5.9,33.9
dgi_Latn,20.4,1.9
dgk_Latn,38.2,1.8
dgo_Deva,16.8,3.0
dgr_Latn,14.8,1.8
dhi_Deva,22.8,1.4
did_Latn,45.0,1.2
dig_Latn,21.1,0.8
dik_Latn,19.0,4.5
dip_Latn,17.5,4.7
div_Thaa,7.6,5.8
dje_Latn,11.9,26.6
djk_Latn,40.8,4.6
dmk_Arab,7.1,15.9
dml_Arab,7.4,5.1
dnj_Latn,48.0,2.5
dnt_Latn,64.3,0.9
dnw_Latn,64.6,0.5
dop_Latn,17.6,2.2
dos_Latn,39.6,2.9
dru_Latn,7.3,4.0
dsh_Latn,52.0,1.1
dso_Orya,1.0,2.8
dtp_Latn,61.4,0.6
dts_Latn,20.8,1.7
dty_Deva,7.7,25.4
dua_Latn,26.9,5.4
dug_Latn,24.9,1.4
dwr_Latn,19.4,1.7
dyi_Latn,22.8,1.7
dyo_Latn,23.5,1.5
dyu_Latn,92.8,6.5
dzg_Latn,5.7,29.7
dzo_Tibt,23.0,3.7
ebu_Latn,6.0,19.0
ego_Latn,6.5,32.3
eip_Latn,75.6,0.8
eiv_Latn,6.5,29.6
eka_Latn,45.7,1.6
ekk_Latn,67.5,2.5
eko_Latn,4.9,10.7
ekr_Latn,7.3,42.5
ell_Grek,349.3,2.5
ell_Grek_cypr1249,7.3,6.0
elm_Latn,7.3,45.3
emp_Latn,22.5,1.1
enb_Latn,17.3,2.4
eng_Latn,63591.5,3.0
enx_Latn,49.2,1.5
epo_Latn,246.6,1.7
ese_Latn,38.3,1.0
ess_Latn,53.4,0.8
esu_Latn,4.7,1.4
eto_Latn,6.3,15.1
ets_Latn,6.7,50.1
etu_Latn,6.3,32.3
eus_Latn,288.3,0.8
evn_Cyrl,2.6,4.5
ewe_Latn,133.5,1.0
ewo_Latn,10.5,17.0
eyo_Latn,6.6,20.6
eza_Latn,23.7,2.9
fal_Latn,17.0,1.9
fan_Latn,16.4,29.0
fao_Latn,125.8,0.9
far_Latn,58.8,2.4
fas_Arab,214.7,3.4
fat_Latn,7.0,22.4
fia_Latn,6.0,39.3
fij_Latn,33.6,0.9
fil_Latn,72.1,1.6
fin_Latn,329.6,1.2
fip_Latn,7.0,26.5
fkk_Latn,6.2,46.5
flr_Latn,50.4,0.9
fmp_Latn,8.5,19.0
fmu_Deva,6.9,3.7
fon_Latn,137.2,1.4
fra_Latn,4615.1,2.2
frd_Latn,54.5,0.6
fry_Latn,6.2,4.0
fub_Latn,10.4,5.2
fuc_Latn,29.0,32.2
fue_Latn,9.8,9.3
ful_Latn,150.5,7.4
fuq_Latn,3.7,27.3
fuv_Latn,6.5,23.2
gag_Cyrl,32.0,0.7
gag_Latn,32.0,0.7
gai_Latn,67.4,0.4
gam_Latn,24.7,1.2
gau_Telu,41.2,1.5
gbi_Latn,35.7,0.4
gbk_Deva,17.1,3.3
gbm_Deva,30.6,11.2
gbo_Latn,47.5,3.6
gbr_Latn,8.4,29.8
gby_Latn,8.9,28.5
gcc_Latn,5.9,25.3
gde_Latn,24.5,2.6
gdf_Latn,8.4,34.0
geb_Latn,4.2,2.1
gej_Latn,28.7,4.3
ges_Latn,6.8,16.4
ggg_Arab,4.1,10.8
gid_Latn,7.1,52.2
gig_Arab,7.0,5.6
gil_Latn,42.8,1.7
giz_Latn,7.0,8.7
gjk_Arab,13.9,47.3
gjn_Latn,21.0,3.1
gju_Arab,7.0,3.6
gkn_Latn,39.9,2.5
gld_Cyrl,2.8,3.9
gle_Latn,75.2,17.2
glg_Latn,120.2,1.4
glk_Arab,6.1,1.7
glv_Latn,7.0,4.6
glw_Latn,7.3,31.2
gmv_Latn,17.9,1.7
gna_Latn,31.6,3.5
gnd_Latn,30.8,3.7
gng_Latn,34.8,2.1
gof_Latn,18.0,1.1
gog_Latn,23.0,0.8
gol_Latn,5.4,32.7
gom_Deva,6.0,32.2
gor_Latn,24.5,1.0
gqr_Latn,47.2,1.5
grc_Grek,13.7,4.0
gri_Latn,59.7,0.4
grn_Latn,38.6,4.7
grt_Beng,20.1,1.6
gsl_Latn,6.2,12.5
gso_Latn,19.0,1.3
gub_Latn,66.8,0.6
guc_Latn,60.7,2.3
gud_Latn,17.8,3.4
guh_Latn,71.6,0.7
gui_Latn,14.9,22.8
guj_Gujr,210.8,2.6
guk_Ethi,19.4,3.6
gum_Latn,26.0,2.6
guo_Latn,28.7,1.1
guq_Latn,47.8,0.6
gur_Latn,11.6,27.7
guu_Latn,31.8,1.5
gux_Latn,18.2,1.6
guz_Latn,6.0,12.7
gvc_Latn,27.9,1.3
gvl_Latn,21.6,1.5
gwc_Arab,8.4,8.6
gwe_Latn,6.4,33.9
gwi_Latn,31.1,1.8
gwr_Latn,56.5,0.9
gwt_Arab,9.3,3.9
gym_Latn,49.9,2.3
gyr_Latn,24.7,0.9
gyz_Latn,6.9,14.9
had_Latn,49.9,0.6
hag_Latn,16.2,2.3
